Title,Kaltmiete zzgl. Nebenkosten,Warmmiete,Nebenkosten,Heizkosten_1,Heizkosten_2,Miete pro Stellplatz,Rooms_number,Surface Area,Floor,availability,Zip Code,Additional Price Info,pics_number,energy_efficiency,Year of Construction,Condition,Heating type,Heating system,Price per sqm,Caution 1,Caution 2,Merkmale_1,Merkmale_2,Merkmale_3,Merkmale_4,Merkmale_5,Merkmale_6,Merkmale_7,Merkmale_8
Wohnung zur Miete,,1.355 €,,in Nebenkosten enthalten,,,2,44 m²,3/4,Baujahr,12557,,1 / 20,B,2024.0,neuwertig,Fernwärme,,"25,23 Euro pro Quadratmeter",,3.330 €,Personenaufzug,Balkon,voll unterkellert,Nicht möbliert,3. Geschoss/4 Geschosse,Nicht barrierefrei,,
Wohnung zur Miete,900 €,1.100 €,300 €,in Warmmiete enthalten,,,1,33 m²,,ab sofort,13359,,1 / 10,,,Gepflegt,,,"27,27 Euro pro Quadratmeter",,1.400 €,Einbauküche,Frei ab sofort,Badewanne,Bodenbelag: Parkett,,,,
Studio zur Miete,2.260 €,2.620 €,360 €,in Nebenkosten enthalten,,,2,69 m²,4.,ab sofort,10178,,1 / 23,,,"Neubau, renoviert / saniert",Fernwärme,Etagenheizung,"32,75 Euro pro Quadratmeter",2 Monatsmieten,,"Einbauküche, Offene Küche",Personenaufzug,neuwertig,Balkon,möbliert,4. Geschoss,Badewanne,Bodenbelag: Parkett
Wohnung zur Miete · Wohnen auf Zeit,1.550 €/Monat,1.850 €/Monat,300 €/Monat,in Nebenkosten enthalten,,,3,108 m²,,ab sofort,13503,,1 / 13,A+,2016.0,Neubau,,,"14,35 Euro pro Quadratmeter",,3.600 €,"Einbauküche, Offene Küche",frei ab 15.11.2024 bis 30.04.2025,Gartenanteil,Terrasse,Carport,Erdgeschoss,Barrierefrei,"Badezimmer: Badewanne, Bad mit Dusche, Bad mit Fenster"
Wohnung zur Miete · Wohnen auf Zeit,,2.380 €/Monat,,,,,3,97 m²,,06.05.2025,10407,,1 / 18,,,,,,,"7.000,00",,"Einbauküche, Kochnische",frei ab 06.05.2025,Haustiere erlaubt,möbliert,1. Geschoss,Badewanne,max. 4 Personen,
Wohnung zur Miete,4.260 €,5.090 €,390 €,,440 €440 €,,6,223 m²,,Zustand der Immobilie,10711,,1 / 3,,,neuwertig,Fernwärme,,"19,10 Euro pro Quadratmeter",,12.000 €,Personenaufzug,Garten,Terrasse,voll unterkellert,Nicht möbliert,Nicht barrierefrei,Swimmingpool,
Wohnung zur Miete,1.259 €,1.609 €,,,350 €350 €,,1,"48,1 m²",,Baujahr,12103,,1 / 13,,2019.0,,,,"26,15 Euro pro Quadratmeter","3.777,00",,,,,,,,,
Loft zur Miete,3.075 €,3.575 €,300 €,,200 €200 €,,2,123 m²,2.,Baujahr,10405,,1 / 20,C,1902.0,renoviert / saniert,"Fernwärme, Gas",Fußbodenheizung,25 Euro pro Quadratmeter,,9.500 €,Einbauküche,Personenaufzug,sofort,Balkon,Kelleranteil,möbliert,2. Geschoss,Barrierefrei
Studio zur Miete,1.160 €,1.535 €,375 €,in Nebenkosten enthalten,,,2,69 m²,4.,Zustand der Immobilie,10553,,1 / 22,,,renoviert / saniert,Elektro,Zentralheizung,"16,81 Euro pro Quadratmeter",,2.000 €,Einbauküche,sofort,Haustiere erlaubt,möbliert,4. Geschoss,,,
Wohnung zur Miete,3.400 €,3.900 €,500 €,in Warmmiete enthalten,,,3,"136,9 m²",5.,Baujahr,10719,,1 / 20,D,1900.0,"Massivhaus, Erstbezug",Fernwärme,,"24,83 Euro pro Quadratmeter","10.200,00",,Einbauküche,Personenaufzug,Terrasse,5. Geschoss,"Bodenbelag: Fliesen, Parkett",,,
Studio zur Miete,2.475 €,2.680 €,205 €,in Nebenkosten enthalten,,,3,77 m²,5.,Zustand der Immobilie,10245,,1 / 23,B,,renoviert / saniert,Elektro,Zentralheizung,"32,14 Euro pro Quadratmeter",,2.000 €,Einbauküche,Personenaufzug,sofort,Terrasse,Haustiere erlaubt,möbliert,5. Geschoss,Bad mit Fenster
Wohnung zur Miete,1.090 €,1.355 €,265 €,in Warmmiete enthalten,,70 €70 €,2,"67,7 m²",2.,01.05.2025,13581,,1 / 5,B,2020.0,"Neubau, neuwertig",Fernwärme,Fußbodenheizung,"16,11 Euro pro Quadratmeter",,3.270 €,Einbauküche,Personenaufzug,frei ab 01.05.2025,Balkon,Außen-Stellplatz,Kelleranteil,2. Geschoss,
Wohnung zur Miete,,,240 €,in Warmmiete enthalten,,,2,58 m²,4.,Baujahr,14199,"Nettokaltmiete: 1.480,00 EUR",1 / 23,,2020.0,neuwertig,,Fußbodenheizung,"25,52 Euro pro Quadratmeter","4.000,00",,Einbauküche,Personenaufzug,sofort,Balkon,Kelleranteil,4. Geschoss,Barrierefrei,"Badezimmer: Badewanne, Bad mit Dusche"
Wohnung zur Miete,1.000 €,1.150 €,75 €,,75 €75 €,,1,38 m²,2.,ab sofort,13585,,1 / 9,B,2024.0,"Neubau, Erstbezug",,,"26,32 Euro pro Quadratmeter",3 Nettokaltmieten,,"Einbauküche, Offene Küche",Personenaufzug,ab sofort,Balkon,Haustiere erlaubt,Kelleranteil,2. Geschoss,Barrierefrei
Studio zur Miete,2.070 €,2.546 €,476 €,in Nebenkosten enthalten,,,4,117 m²,1.,Zustand der Immobilie,10965,,1 / 26,,,renoviert / saniert,Elektro,Zentralheizung,"17,69 Euro pro Quadratmeter",,2.000 €,Einbauküche,Personenaufzug,sofort,Balkon,möbliert,1. Geschoss,Bad mit Fenster,
Wohnung zur Miete · Wohnen auf Zeit,,930 €/Monat,,,,,4,"14,5 m²",,05.05.2025,10179,,1 / 25,,,,,,,"1.395,00",,"Einbauküche, Kochnische",frei ab 05.05.2025,Balkon,möbliert,5. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person
Wohnung zur Miete,,"1.507,44 €",195 €,,80 €80 €,,2,"64,3 m²",7.,ab sofort,13403,"Nettokaltmiete: 1.232,44 EUR",1 / 23,B,1966.0,,"Fernwärme, Elektro",,"19,17 Euro pro Quadratmeter","3697,32  €",,Personenaufzug,Frei ab sofort,Balkon,Haustiere erlaubt,7. Geschoss,,,
Wohnung zur Miete,1.415 €,1.795 €,380 €,in Warmmiete enthalten,,80 €80 €,3,"83,3 m²",EG,ab sofort,13158,,1 / 15,B,2020.0,"Neubau, neuwertig",Fernwärme,Fußbodenheizung,"16,99 Euro pro Quadratmeter",,4.245 €,Einbauküche,Frei ab sofort,Terrasse,Außen-Stellplatz,Kelleranteil,Erdgeschoss,Barrierefrei,
Wohnung zur Miete · Wohnen auf Zeit,1.100 €/Monat,1.300 €/Monat,,in Warmmiete enthalten,,,"1,5",35 m²,,ab sofort,10777,,1 / 8,,,,Fernwärme,,"31,43 Euro pro Quadratmeter",,3.000 €,Einbauküche,DSL-Anschluss,Personenaufzug,Frei ab sofort,Balkon,Außen-Stellplatz,Kelleranteil,möbliert
Wohnung zur Miete,,1.550 €,,in Nebenkosten enthalten,,150 €150 €,2,51 m²,6/7,Baujahr,10785,,1 / 14,,2015.0,neuwertig,Fernwärme,,"25,29 Euro pro Quadratmeter",2 Monatsmieten,,Personenaufzug,Balkon (gesamt 7 m²),Parkhaus,voll unterkellert,möbliert,6. Geschoss/7 Geschosse,Barrierefrei,Badezimmer
Wohnung zur Miete,,,,,340 €340 €,,2,87 m²,,ab sofort,13469,,1 / 11,B,,,Fernwärme,,"17,82 Euro pro Quadratmeter",keine Angabe,,Einbauküche,"Garten, Gartenmitbenutzung",Terrasse,Kelleranteil,,,,
Wohnung zur Miete · Wohnen auf Zeit,,1.690 €/Monat,,,,,2,54 m²,,01.05.2025,10247,,1 / 8,,,,,,,"1.800,00",,"Einbauküche, Kochnische",frei ab 01.05.2025,möbliert,1. Geschoss,Bad mit Dusche,max. 2 Personen,,
Wohnung zur Miete · Wohnen auf Zeit,,1.550 €/Monat,,,,,3,52 m²,,01.03.2025,10627,,1 / 22,,,,,,,"2.400,00",,"Einbauküche, Kochnische",frei ab 01.03.2025,Haustiere erlaubt,möbliert,1. Geschoss,Badewanne,max. 3 Personen,
Wohnung zur Miete · Wohnen auf Zeit,,1.145 €/Monat,,,,,2,30 m²,,01.05.2025,12247,,1 / 10,,,,,,,"1.500,00",,"Einbauküche, Offene Küche",frei ab 01.05.2025,möbliert,1. Geschoss,Bad mit Dusche,max. 1 Person,,
Wohnung zur Miete · Wohnen auf Zeit,,1.168 €/Monat,,,,,2,29 m²,,01.05.2025,12247,,1 / 6,,,,,,,"1.500,00",,"Einbauküche, Offene Küche",frei ab 01.05.2025,möbliert,1. Geschoss,Bad mit Dusche,max. 1 Person,,
