Title,Kaltmiete zzgl. Nebenkosten (€/month),Warmmiete (€/month),Nebenkosten (€/month),Heizkosten_1 (€/month),Heizkosten_2 (€/month),Miete pro Stellplatz (€/month),Rooms_number,Surface Area (m^2),Floor,Zip Code,pics_number,energy_efficiency,Year of Construction,Condition,Price per sqm,Real Estate 3,Bezirk,Multiple floors,Deposit,lim_inhabitants,balcony,furnished,garden,Terrasse,pets_allowed,Garage,shower,bath,Einbaukueche,kitchenette,lift,open kitchen,basement,window in bathroom,WG-geeignet,Wohnen auf Zeit in title,nur mit Wohnberechtigungsschein in title,availability_date,days_until_available,Heating_Elektro,Heating_Fernwaerme,Heating_Gas,Heating_Oel,Heating_Luft-/Wasser-Waermepumpe,Heating_Blockheizkraftwerk,Heating_Solar,Heating_Erdwaerme,Heatingsys_Zentralheizung,Heatingsys_Fussbodenheizung,Heatingsys_Etagenheizung,time_lim (in months),accessible,Floor_cov_Parkett,Floor_cov_Fliesen,Floor_cov_Laminat,Floor_cov_Holzdielen,Floor_cov_Kunststoff,Floor_cov_Linoleum,Floor_cov_Stein,district_name
Wohnung zur Miete,1110.12,1355.0,,in Nebenkosten enthalten,,,2.0,44.0,3.5,12557,20.0,2.0,Neubau,neuwertig,25.23,Privater Anbieter,Treptow-Köpenick,True,3330.0,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Köpenick
Wohnung zur Miete,900.0,1100.0,300.0,in Warmmiete enthalten,,,1.0,33.0,,13359,10.0,,,Gepflegt,27.27,Ambius Immobilien GmbH,Mitte,False,1400.0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,2025-02-12,0.0,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,False,False,False,False,False,Gesundbrunnen
Studio zur Miete,2260.0,2620.0,360.0,in Nebenkosten enthalten,,,2.0,69.0,4.0,10178,23.0,,Neubau,neuwertig,32.75,Blueground Germany GmbH,Friedrichshain-Kreuzberg,False,5240.0,False,True,True,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,2025-02-12,0.0,False,True,False,False,False,False,False,False,False,False,True,,False,True,False,False,False,False,False,False,Mitte
Wohnung zur Miete,1550.0,1850.0,300.0,in Nebenkosten enthalten,,,3.0,108.0,0.0,13503,13.0,0.0,Neubau,,14.35,Privater Anbieter,Reinickendorf,False,3600.0,False,False,False,True,True,False,True,True,True,True,False,False,True,False,True,False,True,False,2025-02-12,0.0,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,False,Heiligensee
Wohnung zur Miete,,2380.0,,,,,3.0,97.0,1.0,10407,18.0,,,,24.53608247422681,HOMELIKE INTERNET GmbH,Pankow,False,7000.0,True,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,2025-05-06,83.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Prenzlauer Berg
Wohnung zur Miete,4260.0,5090.0,390.0,,440.0,,6.0,223.0,,10711,3.0,,,neuwertig,19.1,Privater Anbieter,Charlottenburg-Wilmersdorf,False,12000.0,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,,,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Halensee
Wohnung zur Miete,1259.0,1609.0,,,350.0,,1.0,48.0,,12103,13.0,,Neubau,,26.15,other,Tempelhof-Schöneberg,False,3777.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Tempelhof
Loft zur Miete,3075.0,3575.0,300.0,,200.0,,2.0,123.0,2.0,10405,20.0,3.0,Altbau,neuwertig,25.0,Privater Anbieter,Pankow,False,9500.0,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,2025-02-12,0.0,False,True,True,False,False,False,False,False,False,True,False,,True,False,False,False,False,False,False,False,Prenzlauer Berg
Studio zur Miete,1160.0,1535.0,375.0,in Nebenkosten enthalten,,,2.0,69.0,4.0,10553,22.0,,,neuwertig,16.81,Ukio Germany,Mitte,False,2000.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2025-02-12,0.0,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,Moabit
Wohnung zur Miete,3400.0,3900.0,500.0,in Warmmiete enthalten,,,3.0,136.0,5.0,10719,20.0,4.0,Altbau,Erstbezug,24.83,VON POLL IMMOBILIEN Berlin,Charlottenburg-Wilmersdorf,False,10200.0,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,,,False,True,False,False,False,False,False,False,False,False,False,,False,True,True,False,False,False,False,False,Wilmersdorf
Studio zur Miete,2475.0,2680.0,205.0,in Nebenkosten enthalten,,,3.0,77.0,5.0,10245,23.0,2.0,,neuwertig,32.14,Ukio Germany,Friedrichshain-Kreuzberg,False,2000.0,False,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,2025-02-12,0.0,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,Friedrichshain
Wohnung zur Miete,1090.0,1355.0,265.0,in Warmmiete enthalten,,70.0,2.0,67.0,2.0,13581,5.0,2.0,Neubau,neuwertig,16.11,Müller Merkle Immobilien GmbH,Spandau,False,3270.0,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,2025-05-01,78.0,False,True,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False,False,False,Wilhelmstadt
Wohnung zur Miete,1480.0,1720.0,240.0,in Warmmiete enthalten,,,2.0,58.0,4.0,14199,23.0,,Neubau,neuwertig,25.52,ohne-makler.net - Immobilien selbst vermarkten,Charlottenburg-Wilmersdorf,False,4000.0,False,True,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,2025-02-12,0.0,False,False,False,False,False,False,False,False,False,True,False,,True,False,False,False,False,False,False,False,Westend
Wohnung zur Miete,1000.0,1150.0,75.0,,75.0,,1.0,38.0,2.0,13585,9.0,2.0,Neubau,Erstbezug,26.32,other,Spandau,False,3000.0,False,True,False,False,False,True,False,False,False,True,False,True,True,True,False,False,False,False,2025-02-12,0.0,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,False,Hakenfelde
Studio zur Miete,2070.0,2546.0,476.0,in Nebenkosten enthalten,,,4.0,117.0,1.0,10965,26.0,,,neuwertig,17.69,Ukio Germany,Friedrichshain-Kreuzberg,False,2000.0,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,2025-02-12,0.0,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,Schöneberg
Wohnung zur Miete,1232.44,1507.44,195.0,,80.0,,2.0,64.0,7.0,13403,23.0,2.0,Neubau,,19.17,Gewobag Wohnungsbau  Aktiengesellschaft Berlin,Reinickendorf,False,3697.32,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2025-02-12,0.0,True,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Reinickendorf
Wohnung zur Miete,1415.0,1795.0,380.0,in Warmmiete enthalten,,80.0,3.0,83.0,0.0,13158,15.0,2.0,Neubau,neuwertig,16.99,Müller Merkle Immobilien GmbH,Pankow,False,4245.0,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,2025-02-12,0.0,False,True,False,False,False,False,False,False,False,True,False,,True,False,False,False,False,False,False,False,Rosenthal
Wohnung zur Miete,1100.0,1300.0,,in Warmmiete enthalten,,,1.5,35.0,,10777,8.0,,,,31.43,Privater Anbieter,Tempelhof-Schöneberg,False,3000.0,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,2025-02-12,0.0,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Wilmersdorf
Wohnung zur Miete,1289.79,1550.0,,in Nebenkosten enthalten,,150.0,2.0,51.0,6.5,10785,14.0,,Neubau,neuwertig,25.29,Privater Anbieter,Friedrichshain-Kreuzberg,True,3100.0,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,,,False,True,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,False,Tiergarten
Wohnung zur Miete,1550.0,2230.0,340.0,,340.0,,2.0,87.0,,13469,11.0,2.0,,,17.82,IMMOBERLIN Inhaber Carsten D. Topel,Reinickendorf,False,,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,2025-02-12,0.0,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Wittenau
Wohnung zur Miete,,1690.0,,,,,2.0,54.0,1.0,10247,8.0,,,,31.296296296296298,HOMELIKE INTERNET GmbH,Friedrichshain-Kreuzberg,False,1800.0,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,2025-05-01,78.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Friedrichshain
Wohnung zur Miete,,1550.0,,,,,3.0,52.0,1.0,10627,22.0,,,,29.807692307692307,HOMELIKE INTERNET GmbH,Charlottenburg-Wilmersdorf,False,2400.0,True,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,2025-03-01,17.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Charlottenburg
Wohnung zur Miete,,1145.0,,,,,2.0,30.0,1.0,12247,10.0,,,,38.16666666666666,HOMELIKE INTERNET GmbH,Steglitz-Zehlendorf,False,1500.0,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,2025-05-01,78.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Steglitz
Wohnung zur Miete,,1168.0,,,,,2.0,29.0,1.0,12247,6.0,,,,40.27586206896552,HOMELIKE INTERNET GmbH,Steglitz-Zehlendorf,False,1500.0,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,2025-05-01,78.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Steglitz
Studio zur Miete,1435.0,1780.0,345.0,in Nebenkosten enthalten,,,2.0,75.0,4.0,10439,22.0,,,neuwertig,19.13,Ukio Germany,Pankow,False,2000.0,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,2025-02-12,0.0,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,Prenzlauer Berg
